iter	Passed	Remaining
0	2	391
1	5	381
2	7	373
3	10	368
4	13	365
5	15	359
6	17	353
7	20	352
8	23	348
9	25	346
10	28	346
11	31	344
12	33	341
13	36	339
14	38	335
15	41	333
16	44	331
17	46	327
18	49	325
19	51	323
20	54	321
21	55	311
22	58	309
23	60	306
24	63	303
25	65	301
26	68	299
27	71	297
28	73	294
29	76	292
30	78	290
31	81	287
32	84	285
33	86	283
34	89	281
35	92	279
36	94	276
37	97	273
38	99	270
39	101	266
40	104	263
41	106	260
42	108	258
43	111	255
44	113	253
45	116	251
46	119	248
47	121	246
48	124	243
49	126	240
50	130	240
51	133	238
52	135	235
53	138	232
54	140	229
55	143	227
56	145	225
57	148	222
58	150	219
59	152	216
60	155	213
61	157	210
62	159	207
63	161	204
64	163	201
65	166	199
66	168	196
67	171	194
68	174	191
69	176	188
70	179	187
71	181	184
72	184	181
73	186	179
74	189	176
75	191	173
76	193	170
77	195	168
78	198	165
79	200	162
80	202	159
81	204	157
82	207	154
83	209	151
84	211	149
85	212	146
86	215	143
87	217	141
88	220	138
89	222	136
90	225	133
91	227	131
92	230	128
93	232	126
94	235	123
95	238	121
96	240	119
97	243	116
98	245	114
99	248	111
100	250	109
101	252	106
102	255	104
103	257	101
104	260	99
105	262	96
106	265	94
107	268	91
108	270	89
109	273	87
110	276	84
111	278	82
112	281	79
113	283	77
114	286	74
115	288	72
116	291	69
117	293	67
118	295	64
119	298	62
120	300	59
121	303	57
122	305	54
123	307	52
124	310	49
125	312	47
126	314	44
127	317	42
128	319	39
129	322	37
130	326	34
131	328	32
132	331	29
133	333	27
134	336	24
135	338	22
136	341	19
137	343	17
138	345	14
139	347	12
140	350	9
141	352	7
142	354	4
143	356	2
144	359	0
